TIMES_SELECTED,QUESTION,DIFFICULTY,CORRECT_ANSWER,WRONG_ANSWER_1,WRONG_ANSWER_2,WRONG_ANSWER_3
0,What is the capital of Japan?,EASY,Tokyo,Seoul,Beijing,Osaka
0,In which continent is the Sahara Desert located?,EASY,Africa,Asia,Europe,North America
0,Which river is the longest in the world?,EASY,Nile,Amazon,Yangtze,Congo
0,What is the highest mountain in Africa?,EASY,Kilimanjaro,Mount Kenya,Mount Elgon,Simien Mountains
0,In which country can you find the ancient city of Petra?,EASY,Jordan,Israel,Egypt,Saudi Arabia
0,What is the largest country in South America?,MEDIUM,Brazil,Argentina,Colombia,Peru
0,Which strait separates Asia and North America?,MEDIUM,Bering Strait,Malacca Strait,Sunda Strait,Dover Strait
0,What is the capital of Australia?,MEDIUM,Canberra,Sydney,Melbourne,Brisbane
0,Which river flows through Paris?,MEDIUM,Seine,Thames,Danube,Tiber
0,In which mountain range is Mount Everest located?,MEDIUM,Himalayas,Andes,Rocky Mountains,Alps
0,Which country is known as the Land of the Rising Sun?,HARD,Japan,South Korea,China,Taiwan
0,What is the currency of Switzerland?,HARD,Swiss Franc,Euro,Pound Sterling,Yen
0,Which African country is known as the Pearl of Africa?,HARD,Uganda,Kenya,Tanzania,Rwanda
0,What is the southernmost point of Africa called?,HARD,Cape Agulhas,Cape Horn,Cape of Good Hope,Cape Comorin
0,In which sea is the island nation of Cyprus located?,HARD,Mediterranean Sea,Black Sea,Red Sea,Arabian Sea
0,Which river is the longest in South America?,EASY,Amazon,Orinoco,Paraná,Madeira
0,What is the largest island in the Mediterranean Sea?,EASY,Sicily,Sardinia,Cyprus,Corsica
0,In which country is the city of Marrakech located?,EASY,Morocco,Algeria,Tunisia,Libya
0,What is the official language of Brazil?,EASY,Portuguese,Spanish,Italian,French
0,Which African country is known as the Rainbow Nation?,EASY,South Africa,Kenya,Nigeria,Egypt
0,What is the smallest continent on Earth?,MEDIUM,Australia,Antarctica,Europe,Asia
0,In which ocean is the Bermuda Triangle located?,MEDIUM,Atlantic Ocean,Indian Ocean,Arctic Ocean,Southern Ocean
0,What is the capital of New Zealand?,MEDIUM,Wellington,Auckland,Sydney,Melbourne
0,Which river flows through Baghdad?,MEDIUM,Tigris,Euphrates,Nile,Jordan
0,In which mountain range is Machu Picchu located?,MEDIUM,Andes,Rocky Mountains,Alps,Appalachians
0,Which European country is known as the Land of a Thousand Lakes?,HARD,Finland,Sweden,Norway,Denmark
0,What is the currency of Thailand?,HARD,Thai Baht,Japanese Yen,Singapore Dollar,Vietnamese Dong
0,Which African lake is the second deepest in the world?,HARD,Tanganyika,Malawi,Victoria,Albert
0,What is the highest volcano in the world?,HARD,Ojos del Salado,Mauna Kea,Klyuchevskaya Sopka,Llullaillaco
0,In which sea is the island of Crete located?,HARD,Mediterranean Sea,Aegean Sea,Black Sea,Adriatic Sea
